NUM_TRIALS,MIN_BITS,MAX_BITS
10,16,64
q,a,b,time (s)
26904398333,27851406,17669361606,0.373965
29095770449,25930247185,23926369657,0.396829
28784725037,13133937929,12698890278,0.576840
34326614159,4362078689,28409708783,0.500567
19778070223,13327699261,3025166269,0.402079
29225400749,6284505559,5009323360,0.612616
28529090659,11841586254,7233287234,0.269114
29915899571,28767258213,29648845939,0.321108
21905823187,18466816612,3991718142,0.367197
31007119679,1636550086,15097942494,0.500264
52608145697,51646473723,34689752488,0.476407
68193508921,30644424431,10325830912,0.370087
59917279963,35161227882,36439672601,0.534333
37589607829,9016825994,23210719220,0.416953
41369257847,35631541362,8789823400,0.376991
53401026407,21573100307,24688919353,0.526367
58103171311,53135410100,32652200543,0.324178
39478027991,10785732542,21418431196,0.465217
48197241517,36978023849,15847886769,0.429133
57462084553,21105625099,12557926020,0.427597
72905483663,10945892980,63911778544,0.487538
80056159657,56492620083,20472869469,0.434808
76880007377,60086437249,22725001179,0.484619
79016377831,32764094876,71608822586,0.463155
117564057053,114438779872,98566256791,0.475256
134496624439,70313942529,17511886026,0.373630
109093902353,104841128350,36677561341,0.408841
131662993829,69266532768,117520449139,0.368198
97076495281,50795262818,41239201004,0.529376
73425966479,46168558975,59131082375,0.425136
250625695171,122993173420,62668969015,0.437965
227344393741,212844897824,11405592177,0.512702
185741960273,140842998188,153901518052,0.447473
266161062637,182670996707,42948990370,0.536091
195243711577,80132555064,135592471739,0.392698
272221890839,104269748670,41875524553,0.457640
230986103473,177666632366,77477035861,0.534569
171504595609,57118244487,163019939373,0.581287
175809710651,13781331774,11448894739,0.522864
198192516149,55914101685,18956916754,0.419219
418810872607,296623404285,244917224058,0.569967
396452688509,268196483555,171688382660,0.420258
406558482559,72070421584,221471120237,0.402814
367258731211,344001203909,203082312554,0.506423
345375357097,198350676830,329476807390,0.415661
413668301227,153065384627,252510625663,0.530298
503523554791,317301469224,125533536936,0.563746
492037694461,459523845500,279113776872,0.530832
290302985603,115161634520,244117238359,0.374081
317705866057,259653291617,79822732572,0.480908
645614083151,560216558664,456420532926,0.561143
606603286691,229894217332,193725091295,0.468482
646343047957,145404708220,588654024864,0.472059
850857868907,536761651706,753081782936,0.416968
870503009153,663426566772,615934808829,0.393684
757984268101,358928043129,181194599572,0.422668
656109324859,230875738611,399408063698,0.523978
691778294203,539668842223,47327295129,0.541675
869551707989,343210770791,176896761225,0.450869
960150524191,7211797777,889089495332,0.405155
1869757932407,130068795218,1718183553874,0.648004
1512347399467,761416846460,822270464707,1.025645
1809578000873,1604946200702,818287561718,1.027145
1639863124789,1104008814093,1025580958328,0.899245
1697448680513,445216268638,33401158463,0.756792
1296033550901,46745251543,522991113981,0.539154
1255043812963,488140579012,372536858339,0.559695
1882456513771,42371868503,799237935785,0.757827
1946499453583,1675193314510,103478231580,0.712960
1818146545871,464420315643,1174149808111,0.748186
4116728624741,880308881922,4039266224700,0.707445
2984224125277,2335927750205,1442850054413,0.969494
3020449256677,1281007708292,136808793475,0.761596
2708860655593,663163354084,1755857087465,0.973854
4103621944127,177521135844,2882856930845,0.956195
2565931647757,2252345572504,1390463500621,0.751660
2853081389479,2819732423322,754826504495,0.683137
4104161442427,3000667545978,1784195321358,0.965249
2627416849229,2440505947766,817282736761,1.062649
